Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sdks,org.apache.beam.sdk.coders,NonDeterministicArray,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: arrayField
sdks,org.apache.beam.sdk.coders,SubclassOfUnorderedMapClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,SubclassHidingParent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mapField
sdks,org.apache.beam.sdk.coders,FieldWithAvroName,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: someField
sdks,org.apache.beam.sdk.coders,StringSortedMapField,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sortedMapField
sdks,org.apache.beam.sdk.coders,TreeMapNonDetValue,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: nonDeterministicField
sdks,org.apache.beam.sdk.coders,LinkedHashMapField,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: nonDeterministicMap
sdks,org.apache.beam.sdk.coders,StringCollection,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: stringCollection
sdks,org.apache.beam.sdk.coders,StringList,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: stringCollection
sdks,org.apache.beam.sdk.coders,StringArrayList,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: stringCollection
sdks,org.apache.beam.sdk.coders,StringSortedSet,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: stringCollection
sdks,org.apache.beam.sdk.coders,StringTreeSet,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: stringCollection
sdks,org.apache.beam.sdk.coders,StringHashSet,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: stringCollection
sdks,org.apache.beam.sdk.coders,OrderedSetOfNonDetValues,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: set
sdks,org.apache.beam.sdk.coders,ListOfNonDetValues,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: set
