@relation 'Efforts-5-Levels-Normal-Distribution'

@attribute Class-Count numeric
@attribute LOC numeric
@attribute Smells-Rank {'Very Low',Low,Medium,High,'Very High'}
@attribute Effort-Rank {'Very Low',Low,Medium,High,'Very High'}

@data
3,182,Medium,Medium
14,415,Medium,Medium
15,2702,Medium,Medium
39,3171,Medium,Very Low
2,95,Medium,Medium
29,466,Medium,Medium
5,265,Medium,Medium
3,43,Medium,Medium
26,1623,Medium,Medium
3,130,Medium,Medium
2,32,Medium,Medium
21,1382,High,High
5,116,High,High
4,120,High,High
3,168,High,High
1,8,High,High
1,8,High,High
3,185,High,High
16,878,High,High
21,995,High,High
11,722,High,High
21,1612,High,High
7,397,High,High
10,547,High,High
21,1063,High,High
15,625,Very High,Very High
13,842,Very High,Very High
6,134,Very High,Very High
4,242,Very High,Very High
2,16,Very High,Very High
2,28,Very High,Very High
2,156,Very High,Very High
47,1606,Very Low,Low
11,147,Low,Low
9,275,Low,Low
14,387,Low,Low
32,1871,Low,Low
49,3084,Low,Low
37,1650,Low,Low
6,141,Low,Low
14,336,Low,Low
14,500,Very Low,Very Low
33,1670,Very Low,Low
8,288,Medium,Low
19,1097,Very Low,Low
7,444,Medium,Low
9,292,Very Low,Low
9,671,Very Low,Medium
20,794,Medium,Very Low
11,970,Medium,Medium
50,1966,Low,Medium
9,475,Low,Medium
41,1316,Medium,Medium
6,150,Medium,Medium
32,2551,Low,Very Low
4,204,Medium,Medium
12,939,Medium,Medium
23,1681,Medium,Medium
8,993,Medium,Medium
22,953,Low,Medium
25,2228,Medium,Medium
36,1527,Low,Very Low
50,2814,Low,Medium
10,151,Medium,Medium
20,290,Medium,Medium
33,2977,Medium,Very Low
14,713,Medium,Medium
3,182,Medium,Medium
14,415,Medium,Medium
15,2757,Medium,Medium
45,3564,Medium,Medium
2,95,Medium,Medium
29,466,Medium,Medium
5,265,Medium,Medium
3,43,Medium,Medium
3,130,Medium,Medium
2,32,Medium,Medium
20,1386,Medium,High
5,116,High,High
4,123,High,High
3,168,High,High
1,8,High,High
1,8,High,High
10,865,High,High
3,185,High,High
16,878,High,High
21,995,High,Very Low
11,722,High,High
7,397,High,High
10,546,High,High
15,1007,High,High
21,1063,High,High
15,625,Very High,Very High
13,847,Very High,Very High
6,134,Very High,Very High
4,246,Very High,Very High
2,16,Very High,Very High
2,28,Very High,Very High
2,156,Very High,Very High
47,1606,Very Low,Low
11,147,Low,Low
9,275,Low,Low
14,387,Low,Low
32,1871,Low,Low
49,3084,Low,Low
37,1650,Low,Low
6,141,Low,Low
14,336,Low,Low
14,500,Very Low,Low
33,1670,Very Low,Low
8,288,Medium,Medium
19,1097,Very Low,Medium
7,444,Medium,Medium
9,292,Very Low,Medium
9,671,Very Low,Medium
20,794,Medium,Very Low
11,970,Medium,Very Low
50,1966,Low,Medium
9,475,Low,Medium
41,1316,Medium,Medium
6,150,Medium,Medium
32,2551,Low,Medium
4,204,Medium,Medium
12,939,Medium,Low
23,1681,Medium,Medium
8,993,Medium,Medium
22,953,Low,Medium
25,2228,Medium,Medium
36,1527,Low,Very Low
50,2814,Low,Medium
10,151,Medium,Medium
20,290,Medium,Medium
33,2977,Medium,Very Low
14,713,Medium,Medium
3,182,Medium,Medium
14,415,Medium,Medium
15,2757,Medium,Low
45,3564,Medium,Medium
2,95,Medium,Medium
29,466,Medium,Medium
5,265,Medium,Medium
3,43,Medium,Medium
3,130,Medium,High
2,32,Medium,High
20,1386,Medium,High
5,116,High,High
4,123,High,High
3,168,High,High
1,8,High,High
1,8,High,High
10,865,High,High
3,185,High,High
16,878,High,High
21,995,High,High
11,722,High,High
7,397,High,High
10,546,High,Very High
15,1007,High,Very Low
21,1063,High,Very High
15,625,Very High,Very High
13,847,Very High,Very Low
6,134,Very High,Very High
4,246,Very High,Very High
2,16,Very High,Very High
2,28,Very High,Very High
2,156,Very High,Low
32,3244,Low,Low
73,6660,Low,Low
184,19389,Very Low,Very Low
42,5398,Low,Low
30,3223,Low,Low
38,2538,Very Low,Low
15,1173,Low,Low
39,4062,Low,Low
40,4705,Low,Low
51,5510,Very Low,Low
264,17558,Low,Low
19,1782,Low,Low
13,2208,Low,Low
14,2080,Low,Very Low
45,3893,Very Low,Low
32,6532,Medium,Medium
45,4102,Low,Medium
48,7438,Medium,Medium
15,1016,Medium,Medium
40,2588,Medium,Medium
31,4793,Very Low,Very Low
17,1165,Medium,Medium
8,611,Medium,Medium
20,2996,Medium,Very Low
13,1855,Medium,Medium
20,4668,Low,Medium
48,6788,Low,Medium
7,326,Medium,Medium
134,8528,Medium,Medium
67,2880,Medium,Medium
21,2424,Medium,Low
38,2353,Medium,Very Low
49,5445,Very Low,Very Low
15,1423,Medium,Low
24,1677,Medium,Medium
8,80,Medium,Medium
9,2462,Medium,Medium
56,5868,Very Low,Medium
57,4921,Low,Medium
6,2423,Medium,Medium
161,1115,Medium,Medium
32,1634,Medium,Medium
37,2237,Medium,Very Low
4,568,Medium,Medium
1,20,Medium,Medium
1,142,Medium,Medium
3,423,Medium,Medium
10,411,Medium,Medium
1,10,Medium,Medium
23,1237,Medium,Medium
17,1052,Medium,Medium
3,633,Medium,Medium
2,121,Medium,Medium
1,102,High,High
5,1573,High,High
9,4132,High,High
13,770,High,High
3,176,High,High
4,218,High,High
2,80,High,High
2,71,High,High
21,1399,High,High
5,636,High,High
1,38,High,High
1,296,High,High
7,1406,High,High
1,100,High,High
11,839,High,High
17,753,Very High,Very High
1,38,Very High,Very High
1,24,Very High,Very High
28,1500,Very High,Very High
1,18,Very High,Very High
1,6,Very High,Very High
1,231,Very High,Very High
17,1537,Very High,Very High
32,3244,Low,Low
74,6804,Low,Low
191,19865,Low,Very Low
42,5398,Low,Low
33,3408,Very Low,Low
39,2562,Very Low,Low
16,1301,Low,Low
39,4063,Low,Medium
40,4762,Low,Medium
51,5514,Very Low,Very Low
271,18033,Low,Very Low
19,1788,Low,Low
13,2211,Low,Medium
14,2172,Low,Medium
45,3876,Very Low,Low
32,6529,Medium,Medium
45,4101,Low,Medium
48,7427,Medium,Medium
15,1024,Medium,Medium
40,2621,Medium,Very Low
31,4863,Very Low,Medium
17,1165,Medium,Medium
8,615,Medium,Medium
21,3265,Medium,Low
13,1840,Medium,Low
21,4630,Medium,Medium
51,6910,Low,Medium
7,335,Medium,Medium
135,8535,Medium,Very Low
67,2886,Medium,Medium
21,2494,Medium,Low
40,2608,Low,Very Low
52,5782,Very Low,Low
15,1434,Medium,Medium
24,1685,Medium,Medium
8,80,Medium,Medium
9,2462,Medium,Medium
56,5934,Very Low,Low
57,4915,Low,Low
6,2423,Medium,Medium
161,1115,Medium,Medium
32,1634,Medium,Medium
37,2241,Medium,Low
4,568,Medium,Medium
1,20,Medium,Medium
1,142,Medium,Medium
3,421,Medium,Medium
10,411,Medium,Medium
1,10,Medium,Medium
23,1237,Medium,Medium
17,1058,Medium,Very Low
3,633,Medium,Medium
2,121,Medium,Medium
1,102,High,High
5,1573,High,High
9,4126,High,High
13,770,High,High
3,176,High,High
4,218,High,High
2,80,High,High
2,71,High,High
24,1574,High,High
5,635,High,High
1,38,High,High
1,296,High,High
7,1397,High,High
1,100,High,High
11,841,High,High
17,753,Very High,Very High
1,38,Very High,Very High
1,24,Very High,Very High
28,1500,Very High,Very High
1,18,Very High,Very High
1,6,Very High,Very High
1,229,Very High,Very High
17,1535,Very High,Very High
32,3243,Low,Medium
76,7161,Low,Very Low
197,21359,Very Low,Very Low
42,5425,Low,Low
34,3494,Very Low,Very Low
39,2561,Very Low,Medium
17,1490,Low,Medium
39,4063,Low,Medium
6,250,Low,Medium
40,4760,Low,Medium
57,6044,Very Low,Low
277,18245,Low,Very Low
20,1883,Low,Low
14,2244,Low,Medium
22,3246,Low,Medium
45,3884,Very Low,Low
32,6530,Low,Medium
45,4125,Low,Medium
48,7431,Medium,Very Low
15,1024,Medium,Medium
42,2895,Medium,Low
31,4910,Very Low,Medium
18,1198,Medium,Medium
8,623,Medium,Medium
21,3247,Medium,Medium
13,1840,Medium,Medium
17,3879,Medium,Medium
51,6935,Low,Very Low
7,336,Medium,Medium
136,8749,Medium,Medium
67,2923,Medium,Medium
22,2602,Medium,Low
41,2880,Low,Low
53,5872,Very Low,Low
15,1429,Medium,Low
24,1689,Medium,Low
8,80,Medium,Medium
1,321,Medium,Medium
9,2493,Medium,Medium
60,6313,Very Low,Low
57,4930,Low,Medium
6,2423,Medium,Medium
161,1115,Medium,Medium
32,1636,Medium,Medium
37,2389,Medium,Medium
4,568,Medium,Medium
1,20,Medium,High
1,142,Medium,High
3,421,Medium,High
10,411,Medium,High
1,10,Medium,High
5,780,Medium,Very Low
23,1240,Medium,High
17,1068,Medium,Low
25,771,Medium,Medium
3,633,Medium,High
2,121,High,High
1,102,High,High
5,1582,High,High
9,4133,High,Medium
13,770,High,High
3,176,High,Low
14,1426,High,Very Low
1,136,High,High
4,218,High,High
2,87,High,High
2,78,High,High
24,1637,High,Low
5,647,High,High
1,38,High,Very High
7,1400,High,Low
1,100,High,Very High
11,845,Very High,Low
17,753,Very High,Very High
1,38,Very High,Medium
1,24,Very High,Very High
28,1498,Very High,Very High
1,18,Very High,Very High
1,6,Very High,Very High
1,229,Very High,Very High
17,1535,Very High,Very High
298,24332,Very Low,Very Low
23,2896,Low,Very Low
33,3351,Low,Very Low
163,18494,Low,Very Low
297,34238,Very Low,Very Low
76,7584,Low,Very Low
43,5716,Low,Very Low
37,3835,Very Low,Low
39,2583,Very Low,Low
17,1803,Low,Low
39,4768,Low,Low
11,606,Low,Low
40,4828,Low,Low
85,10077,Very Low,Low
26,2163,Low,Low
60,5241,Very Low,Low
24,2852,Medium,Low
7,312,Low,Low
14,2263,Low,Low
25,4180,Medium,Low
45,3968,Very Low,Low
11,488,Medium,Low
45,4124,Low,Low
48,7772,Medium,Low
15,1051,Medium,Low
43,2984,Medium,Medium
28,4472,Medium,Medium
20,1429,Medium,Medium
8,621,Medium,Medium
10,1065,Medium,Medium
10,1957,Low,Medium
63,8500,Low,Medium
6,396,Low,Medium
6,306,Medium,Medium
137,9116,Medium,Medium
67,2961,Medium,Medium
22,2661,Medium,Medium
43,3087,Medium,Medium
54,6199,Very Low,Medium
16,1558,Medium,Medium
26,1764,Medium,Medium
8,80,Medium,Medium
9,2491,Medium,Medium
3,649,Medium,Medium
74,7680,Low,Medium
61,4990,Low,Medium
11,743,Medium,Medium
6,2483,Medium,Medium
12,532,Medium,Medium
32,1664,Medium,Medium
37,2463,Medium,Very Low
4,568,Medium,Medium
1,87,Medium,Medium
1,20,Medium,Medium
1,144,Medium,Medium
13,1529,Medium,Medium
20,2601,Medium,Medium
3,447,Medium,Medium
10,411,Medium,Medium
1,10,Medium,Medium
23,1274,High,High
4,93,High,High
3,633,High,High
2,124,High,High
1,105,High,High
5,1570,High,High
20,5218,High,High
11,4260,High,High
14,1428,High,High
13,773,High,High
4,313,High,High
20,3192,High,High
8,868,High,High
4,303,High,High
2,106,High,High
2,97,High,High
5,676,High,High
1,38,High,High
1,324,Very High,Very High
15,3486,Very High,Very High
8,770,Very High,Very High
17,753,Very High,Very High
3,182,Very High,Very High
3,22,Very High,Very High
1,38,Very High,Very High
1,235,Very High,Very High
17,1535,Very High,Very High
188,6990,Very Low,Low
248,19961,Low,Low
15,348,Very Low,Low
31,1142,Very Low,Low
179,6542,Very Low,Low
26,1067,Low,Low
15,1364,Low,Low
30,2079,Low,Low
44,2433,Low,Low
31,1145,Very Low,Low
162,7197,Very Low,Low
