@relation 'Efforts-5-Levels'

@attribute Class-Count numeric
@attribute LOC numeric
@attribute Smells-Rank {'Very Low',Low,Medium,High,'Very High'}
@attribute Effort-Rank {'Very Low',Low,Medium,High,'Very High'}

@data
45,3884,Very Low,Low
32,6530,Low,Medium
45,4125,Very Low,Medium
48,7431,Low,Very Low
15,1024,Low,Medium
42,2895,Low,Low
31,4910,Very Low,Medium
18,1198,Low,Medium
8,623,Low,Medium
21,3247,Low,Medium
13,1840,Low,Medium
17,3879,Low,Medium
51,6935,Very Low,Very Low
7,336,Medium,Medium
136,8749,Medium,Medium
67,2923,Medium,Medium
22,2602,Medium,Low
41,2880,Very Low,Very Low
53,5872,Very Low,Low
15,1429,Medium,Low
24,1689,Medium,Low
8,80,Medium,Medium
1,321,Medium,High
9,2493,Medium,High
60,6313,Very Low,Very Low
57,4930,Very Low,High
6,2423,Medium,High
161,1115,Medium,High
32,1636,Medium,High
37,2389,Medium,High
4,568,Medium,High
1,20,Medium,High
1,142,Medium,High
3,421,High,High
10,411,High,High
1,10,High,High
5,780,High,Very Low
23,1240,High,High
17,1068,High,Low
25,771,High,Low
3,633,High,High
2,121,High,High
1,102,High,Very High
5,1582,High,Very High
9,4133,High,Low
13,770,High,Very High
3,176,High,Very Low
14,1426,High,Very Low
1,136,High,Very High
4,218,Very High,Very High
2,87,Very High,Very High
2,78,Very High,Very High
24,1637,Very High,Low
5,647,Very High,Very High
1,38,Very High,Very High
7,1400,Very High,Very Low
1,100,Very High,Very High
11,845,Very High,Very Low
17,753,Very High,Very High
1,38,Very High,Low
1,24,Very High,Very High
28,1498,Very High,Very High
1,18,Very High,Very High
1,6,Very High,Very High
1,229,Very High,Very High
17,1535,Very High,Very High
298,24332,Very Low,Very Low
23,2896,Low,Very Low
33,3351,Low,Very Low
163,18494,Low,Very Low
297,34238,Very Low,Very Low
76,7584,Low,Very Low
43,5716,Low,Very Low
37,3835,Very Low,Very Low
39,2583,Very Low,Very Low
17,1803,Low,Very Low
39,4768,Very Low,Very Low
11,606,Low,Very Low
40,4828,Low,Very Low
85,10077,Very Low,Very Low
26,2163,Low,Very Low
60,5241,Very Low,Very Low
24,2852,Low,Low
7,312,Very Low,Low
14,2263,Very Low,Low
25,4180,Low,Low
45,3968,Very Low,Low
11,488,Low,Low
45,4124,Very Low,Low
48,7772,Low,Low
15,1051,Low,Low
43,2984,Low,Low
28,4472,Low,Low
20,1429,Low,Low
8,621,Medium,Low
10,1065,Medium,Low
10,1957,Very Low,Low
63,8500,Very Low,Low
6,396,Very Low,Low
6,306,Medium,Medium
137,9116,Medium,Medium
67,2961,Medium,Medium
22,2661,Medium,Medium
43,3087,Medium,Medium
54,6199,Very Low,Medium
16,1558,Medium,Medium
26,1764,Medium,Medium
8,80,Medium,Medium
9,2491,Medium,Medium
3,649,Medium,Medium
74,7680,Very Low,Medium
61,4990,Very Low,Medium
11,743,Medium,Medium
6,2483,Medium,Medium
12,532,Medium,Medium
32,1664,Medium,Medium
37,2463,Medium,Very Low
4,568,Medium,Medium
1,87,High,High
1,20,High,High
1,144,High,High
13,1529,High,High
20,2601,High,High
3,447,High,High
10,411,High,High
1,10,High,High
23,1274,High,High
4,93,High,High
3,633,High,High
2,124,High,High
1,105,High,High
5,1570,High,High
20,5218,High,High
11,4260,High,High
14,1428,High,High
13,773,Very High,Very High
4,313,Very High,Very High
20,3192,Very High,Very High
8,868,Very High,Very High
4,303,Very High,Very High
2,106,Very High,Very High
2,97,Very High,Very High
5,676,Very High,Very High
1,38,Very High,Very High
1,324,Very High,Very High
15,3486,Very High,Very High
8,770,Very High,Very High
17,753,Very High,Very High
3,182,Very High,Very High
3,22,Very High,Very High
