ambari,2.7.4,11.9,114.0,10.4
ambari,2.7.3,3.7,141.3,2.6
atlas,0.7,22.5,241.4,9.3
atlas,0.8,13.1,145.5,9.0
atlas,0.8.1,9.1,98.0,9.2
atlas,0.8.3,5.0,63.3,7.9
atlas,0.5,25.9,588.3,4.4
atlas,0.7.1,14.3,207.6,6.9
atlas,0.8.2,2.9,52.2,5.6
atlas,1.0.0,118.1,852.7,13.9
atlas,0.6,9.3,79.2,11.8
atlas,2.0.0,1.6,86.2,1.8
atlas,1.1.0,0.9,15.0,6.0
aurora,0.9.0,2.4,33.2,7.3
aurora,0.2.0,61.1,707.7,8.6
aurora,0.6.0,11.1,125.6,8.8
aurora,0.14.0,1.1,25.5,4.2
aurora,0.5.0,7.4,753.9,1.0
aurora,0.10.0,172.5,401.3,43.0
aurora,0.12.0,1.0,23.7,4.4
aurora,0.11.0,1.6,21.4,7.3
aurora,0.13.0,3.0,35.8,8.3
aurora,0.18.1,1.3,44.6,2.9
aurora,0.17.0,1.1,35.0,3.2
aurora,0.8.0,11.4,79.1,14.4
aurora,0.19.1,3.2,36.5,8.8
aurora,0.7.0,1.0,22.6,4.5
aurora,0.21.0,1.6,22.0,7.3
aurora,0.3.0,8.1,71.5,11.4
aurora,0.16.0,1.0,21.4,4.8
aurora,0.18.0,3.6,23.9,15.1
aurora,0.20.0,0.0,4.2,0.4
aurora,0.15.0,0.1,4.5,1.8
batik,1.5,38.1,504.5,7.6
batik,1.1,22.4,414.4,5.4
batik,1.0,82.0,1182.0,6.9
batik,1.7,44.1,551.4,8.0
batik,1.10,0.0,7.6,0.5
batik,1.6,23.8,220.5,10.8
batik,1.5.1,4.9,331.5,1.5
batik,1.8,4.5,35.9,12.5
batik,1.9,0.0,14.9,0.0
batik,1.1.1,0.3,3.4,7.7
batik,1.11,0.0,1.2,0.5
commons-bcel,6.0,14.9,343.4,4.4
commons-bcel,5.2,0.9,653.5,0.1
commons-bcel,6.1,0.3,6.8,4.4
commons-bcel,6.3,1.4,5.3,25.7
commons-bcel,6.2,0.0,2.9,0.8
beam,2.11.0,3.5,63.5,5.5
beam,0.2.0,11.6,2024.2,0.6
beam,2.8.0,33.5,776.7,4.3
beam,0.1.0,35.5,162.5,21.9
beam,1.5.0,22.2,318.7,7.0
beam,2.0.0,41.3,314.6,13.1
beam,2.1.0,22.3,181.7,12.3
beam,2.4.0,3.8,66.4,5.7
beam,2.5.0,26.4,426.7,6.2
beam,1.8.1,13.0,2069.2,0.6
beam,0.4.20150727,10.5,81.5,12.9
beam,0.4.0,4.9,48.3,10.2
beam,2.10.0,20.3,206.0,9.8
beam,2.3.0,23.9,709.9,3.4
beam,1.0.0,2.5,22.7,10.9
beam,0.3.0,7.0,114.4,6.1
beam,1.9.1,2.4,15.7,15.3
beam,2.7.0,6.9,96.9,7.1
beam,2.2.0,10.3,194.0,5.3
beam,2.1.1,21.8,219.9,9.9
beam,2.13.0,6.3,178.5,3.5
beam,0.3.20150227,0.5,13.8,3.5
beam,2.9.0,7.3,170.3,4.3
beam,2.12.0,8.6,113.1,7.6
beam,0.6.0,16.8,160.3,10.5
beam,1.7.0,8.7,85.8,10.2
beam,0.4.20150710,6.9,40.3,17.0
beam,1.8.0,13.2,1703.0,0.8
beam,1.3.0,9.1,42.8,21.2
beam,2.6.0,14.7,353.9,4.2
beam,0.5.0,5.1,70.7,7.2
beam,1.6.1,2.5,21.7,11.6
beam,0.4.20150414,13.1,69.3,18.9
beam,0.3.20150210,0.3,31.4,0.8
beam,1.1.0,2.7,40.1,6.7
beam,2.14.0,4.2,134.6,3.1
beam,1.5.1,2.6,85.8,3.1
beam,1.4.0,5.1,62.7,8.1
beam,1.2.0,3.6,18.4,19.6
beam,0.3.20150109,2.0,19.8,9.9
beam,0.4.20150602,5.5,60.7,9.1
beam,0.3.20150326,3.6,31.3,11.6
beam,1.6.0,1.3,2.2,57.5
commons-beanutils,1.9.0,1.4,28.9,4.8
commons-beanutils,1.1,8.9,325.9,2.7
commons-beanutils,1.9.3,0.2,23.4,0.8
commons-beanutils,1.8.0,0.5,13.4,4.1
commons-beanutils,1.8.1,0.1,4.4,2.2
commons-beanutils,1.9.1,0.1,1.4,6.5
cocoon,2.1.6,27.9,486.0,5.7
cocoon,1.0.0,9.4,715.5,1.3
cocoon,2.1.10,0.7,9.1,7.6
cocoon,2.1,45.2,3218.4,1.4
cocoon,2.1.3,6.0,101.7,5.9
cocoon,2.2.0,16.1,277.9,5.8
cocoon,2.0,8.3,136.7,6.1
cocoon,2.1.1,5.4,186.2,2.9
cocoon,2.1.8,16.6,331.9,5.0
cocoon,2.1.5,18.0,1181.3,1.5
cocoon,2.1.9,13.2,2238.3,0.6
cocoon,2.1.4,23.4,438.6,5.3
cocoon,2.1.7,4.9,63.8,7.6
cocoon,2.1.2,2.5,71.7,3.5
commons-codec,1.4,1.5,34.1,4.3
commons-codec,1.7,1.6,30.7,5.2
commons-codec,1.11,0.8,37.1,2.1
commons-codec,1.5,4.6,32.3,14.2
commons-codec,1.3,6.6,91.3,7.2
commons-codec,1.10,0.7,13.2,5.4
commons-codec,1.6,1.8,43.3,4.1
commons-codec,1.12,0.2,6.9,2.9
commons-codec,1.8,0.4,12.5,2.9
commons-codec,1.9,0.1,2.2,5.9
commons-collections,1.1,62.0,839.6,7.4
commons-collections,3.2.2,4.8,62.3,7.7
commons-collections,4.3,0.2,3.9,6.3
commons-collections,4.0,10.0,454.5,2.2
commons-collections,3.2.1,11.3,104.3,10.9
commons-collections,3.3,0.1,3.8,3.5
