aurora,0.10.0,org.apache.aurora.common.thrift,3428,1773.80,3428,1773.78,100.00
aurora,0.10.0,org.apache.aurora.common.thrift.callers,1152,596.10,1152,596.09,100.00
aurora,0.10.0,org.apache.aurora.common.thrift.monitoring,253,130.90,253,130.91,100.00
aurora,0.10.0,org.apache.aurora.common.thrift.testing,216,111.80,220,113.84,98.18
aurora,0.10.0,org.apache.aurora.common.util,4373,2262.80,4492,2324.34,97.35
aurora,0.10.0,org.apache.aurora.common.util.caching,816,422.20,816,422.23,100.00
aurora,0.10.0,org.apache.aurora.common.util.concurrent,992,513.30,996,515.37,99.60
aurora,0.10.0,org.apache.aurora.common.util.logging,97,50.20,97,50.19,100.00
aurora,0.10.0,org.apache.aurora.common.util.templating,188,97.30,188,97.28,100.00
aurora,0.10.0,org.apache.aurora.common.util.testing,213,110.20,255,131.95,83.53
aurora,0.10.0,org.apache.aurora.common.zookeeper,7575,3919.60,7628,3947.03,99.31
aurora,0.10.0,org.apache.aurora.common.zookeeper.guice,343,177.50,343,177.48,100.00
aurora,0.10.0,org.apache.aurora.common.zookeeper.guice.client,235,121.60,235,121.60,100.00
aurora,0.10.0,org.apache.aurora.common.zookeeper.guice.client.flagged,82,42.40,82,42.43,100.00
aurora,0.10.0,org.apache.aurora.common.zookeeper.testing,373,193.00,427,220.95,87.35
aurora,0.10.0,org.apache.aurora.common.args.argfilterstest,29,15.00,29,15.01,100.00
aurora,0.10.0,org.apache.aurora.common.args.argfilterstest.subpackageA,29,15.00,29,15.01,100.00
aurora,0.10.0,org.apache.aurora.common.args.argfilterstest.subpackageA.subsubpackage1,29,15.00,29,15.01,100.00
aurora,0.10.0,org.apache.aurora.common.args.argfilterstest.subpackageB,29,15.00,29,15.01,100.00
aurora,0.10.0,org.apache.aurora.common.args.argfilterstest.subpackageBwithSuffix,29,15.00,29,15.01,100.00
aurora,0.10.0,org.apache.aurora.scheduler.thrift,114,59.00,557,288.21,20.47
aurora,0.10.0,org.apache.aurora.scheduler.zookeeper.guice.client,60,31.00,73,37.77,82.19
aurora,0.10.0,org.apache.aurora.scheduler.zookeeper.guice.client.flagged,10,5.20,10,5.17,100.00
aurora,0.10.0,org.apache.aurora.scheduler.configuration.executor,160,82.80,160,82.79,100.00
aurora,0.11.0,org.apache.aurora.scheduler.configuration.executor,37,19.10,277,143.33,13.36
aurora,0.11.0,org.apache.aurora.scheduler.thrift.aop,267,138.20,364,188.35,73.35
aurora,0.11.0,org.apache.aurora.scheduler.storage.log,2,1.00,312,161.44,0.64
aurora,0.11.0,org.apache.aurora.scheduler.storage,185,95.70,312,161.44,59.29
aurora,0.11.0,org.apache.aurora.scheduler.storage.testing,32,16.60,37,19.15,86.49
aurora,0.11.0,org.apache.aurora.scheduler.app.local.simulator.events,8,4.10,28,14.49,28.57
aurora,0.12.0,org.apache.aurora.scheduler.base,44,22.80,84,43.46,52.38
aurora,0.12.0,org.apache.aurora.scheduler.configuration,66,34.20,231,119.53,28.57
aurora,0.12.0,org.apache.aurora.scheduler.storage.mem,47,24.30,107,55.37,43.93
aurora,0.12.0,org.apache.aurora.scheduler.thrift,129,66.70,536,277.35,24.07
aurora,0.12.0,org.apache.aurora,18,9.30,43,22.25,41.86
aurora,0.12.0,org.apache.aurora.scheduler.http,27,14.00,145,75.03,18.62
aurora,0.12.0,org.apache.aurora.scheduler.pruning,20,10.30,192,99.35,10.42
aurora,0.13.0,org.apache.aurora.scheduler,130,67.30,323,167.13,40.25
aurora,0.13.0,org.apache.aurora.scheduler.mesos,44,22.80,246,127.29,17.89
aurora,0.13.0,org.apache.aurora.scheduler.configuration,7,3.60,249,128.84,2.81
aurora,0.13.0,org.apache.aurora.scheduler.thrift,9,4.70,343,177.48,2.62
aurora,0.13.0,org.apache.aurora.scheduler.storage,8,4.10,148,76.58,5.41
aurora,0.13.0,org.apache.aurora.benchmark,27,14.00,196,101.42,13.78
aurora,0.13.0,org.apache.aurora.scheduler.storage.db,78,40.40,775,401.02,10.06
aurora,0.13.0,org.apache.aurora.scheduler.app,2,1.00,142,73.48,1.41
aurora,0.13.0,org.apache.aurora.scheduler.http,36,18.60,358,185.24,10.06
aurora,0.13.0,org.apache.aurora.common.zookeeper,308,159.40,695,359.62,44.32
aurora,0.13.0,org.apache.aurora.scheduler.discovery,174,90.00,1071,554.18,16.25
aurora,0.13.0,org.apache.aurora.common.zookeeper.testing,139,71.90,164,84.86,84.76
aurora,0.13.0,org.apache.aurora.scheduler.filter,22,11.40,45,23.28,48.89
aurora,0.13.0,org.apache.aurora.scheduler.resources,31,16.00,145,75.03,21.38
aurora,0.14.0,org.apache.aurora.scheduler.discovery,211,109.20,858,443.96,24.59
aurora,0.14.0,org.apache.aurora.scheduler.state,36,18.60,128,66.23,28.12
aurora,0.14.0,org.apache.aurora.scheduler.resources,18,9.30,2241,1159.58,0.80
aurora,0.14.0,org.apache.aurora.scheduler.quota,53,27.40,214,110.73,24.77
aurora,0.14.0,org.apache.aurora.scheduler.mesos,50,25.90,234,121.08,21.37
aurora,0.15.0,org.apache.aurora.scheduler.base,27,14.00,47,24.32,57.45
aurora,0.16.0,org.apache.aurora.scheduler.scheduling,79,40.90,387,200.25,20.41
aurora,0.16.0,org.apache.aurora.scheduler.updater,216,111.80,348,180.07,62.07
aurora,0.16.0,org.apache.aurora.scheduler.events,34,17.60,172,89.00,19.77
